feature,pooled_c2st,pooled_c2st_calibrated,benign_c2st,attack_c2st,benign_c2st_calibrated,attack_c2st_calibrated,dominant_slice,dominant_c2st,c2st_Botnet,c2st_BruteForce,c2st_DDoS,c2st_DoS,c2st_Infiltration,c2st_WebAttack,c2st_calibrated_Botnet,c2st_calibrated_BruteForce,c2st_calibrated_DDoS,c2st_calibrated_DoS,c2st_calibrated_Infiltration,c2st_calibrated_WebAttack
Subflow Fwd Packets,0.5087499999999999,-0.0017289645998012663,0.5032500000000001,0.53025,-0.006324167736018516,0.042566971812080384,Infiltration,0.7015,0.5,0.5,0.50125,0.5,0.7015,0.5,0.0,0.0,-0.000777491800662705,0.0,0.3771975674887945,0.0
Bwd Bytes/Bulk Avg,0.550739375,0.08056369349416041,0.51374125,0.631,0.015995522547205765,0.24732280097699266,DoS,0.8252500000000002,0.5,0.50275,0.6025,0.8252500000000002,0.5,0.512312030075188,0.0,0.0004876295968370974,0.1891063993883222,0.6394594166757329,0.0,-0.010181246118195255
Fwd Bulk Rate Avg,0.5167075000000001,0.02501599061641219,0.5242775,0.5062412500000001,0.03256654255851875,0.007291115141159206,Botnet,0.5271161059018202,0.5271161059018202,0.5005,0.501,0.514940625,0.5017475,0.5,0.034827564237304036,-0.002354415459441338,0.00030428813073178233,0.013471299482656659,-0.0018232791323075633,0.0
Bwd Packet/Bulk Avg,0.535801875,0.04989062320443323,0.513469375,0.6265000000000001,0.0037225311819954377,0.23626831682940358,DoS,0.83675,0.5,0.502,0.60375,0.83675,0.5,0.512312030075188,0.0,0.000689984080933076,0.18850071268850288,0.6626549783983277,0.0,-0.009942421539210055
Bwd Bulk Rate Avg,0.55796625,0.09443287633285562,0.5401337500000001,0.6295000000000001,0.07397561544547768,0.23473454764605825,DoS,0.8295,0.5,0.50175,0.60275,0.8295,0.5,0.512312030075188,0.0,-4.753595751923929e-05,0.17137386839897106,0.6465737907325646,0.0,-0.018166863213390283
Subflow Bwd Packets,0.501,0.00032717295763893205,0.50125,0.5,0.0024999999999999467,0.0,benign,0.50125,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Bytes,0.698304375,0.3660439487946973,0.6874631250000001,0.9472675,0.34892292373734546,0.889258363085155,Botnet,0.99975,0.99975,0.9974775000000001,0.99936375,0.9347256250000001,0.531951875,0.9620658789831722,0.9994672303827538,0.9945970786579454,0.9986915080391499,0.8614155476181905,0.045645532167685694,0.900390385629902
Fwd Seg Size Min,0.700080625,0.370453498573467,0.69415625,0.790945625,0.3679164594958015,0.5703522974377999,WebAttack,1.0,0.5,0.5,0.5039962499999999,0.7457500000000001,0.55346625,1.0,0.0,-0.0016631070291303056,0.002882666426741919,0.4643448481871912,0.08832936704640615,1.0
FWD Init Win Bytes,0.7557843750000001,0.486319624644364,0.733715625,0.9786699999999999,0.43752212311053124,0.9546858411071724,BruteForce,1.0,0.5,1.0,0.8968831249999999,1.0,0.5486287500000001,1.0,0.0,1.0,0.7870218851478701,1.0,0.07359989987572339,1.0
Fwd Act Data Pkts,0.6802650000000001,0.3352812165154733,0.7107775000000001,0.73455125,0.4121231961002949,0.44271185288594056,BruteForce,0.79125,0.5287606637249495,0.79125,0.50175,0.5119493749999999,0.524333125,0.4599606158252775,0.038365958330000775,0.5654197359160011,0.0017722087920980234,0.0023120784623097365,0.031212948679517145,-0.1512998025665196
